ID;Codigo;Nombre;AreaProtegida;Provincia;Canton;Distrito;Altitud;ProcesoGeomorfólogicoPrincipal;Caracteristica;Clasificacion;ValoresCientificos;ValoresAnadidos;Latitud;Longitud
34;PCBflu002;Humedal Laguna El Campo;No Aplica;Puntarenas;Coto Brus;San Vito;1000;Fluvial;Natural;Baja;0.17;0.1;8.862777778;-82.96583333
35;PCBflu003;Humedal de San Vito;No Aplica;Puntarenas;Coto Brus;San Vito;990;Fluvial;Natural;Baja;0.16;0.1;8.829166667;-82.95833333
36;PCBflu004;Humedal Laguna Zoncho;No Aplica;Puntarenas;Coto Brus;San Vito;1190;Fluvial;Natural;Baja;0.15;0.1;8.826708333;-82.95083611
37;PCBflu005;Humedal Laguna Los Gamboa;No Aplica;Puntarenas;Coto Brus;San Vito;1454;Fluvial;Natural;Baja;0.22;0.1;8.813;-82.963
38;PCBflu006;Humedal Palustrino Laguna El Paraguas;No Aplica;Puntarenas;Coto Brus;San Vito;1400;Fluvial;Natural;Baja;0.19;0.1;8.788611111;-82.98472222
39;PCBflu007;Catarata La Neblina;No Aplica;Puntarenas;Coto Brus;Sabalito;1650;Fluvial;Natural;Media;0.45;0.5;8.782222222;-82.98111111
40;PCBflu008;Toma de agua Acueducto Las Tablas;No Aplica;Puntarenas;Coto Brus;Sabalito;1780;Fluvial;Antrópica;Baja;0.15;0.5;8.908888889;-82.76055556
41;PCBflu009;Catarata Salto del Ángel;No Aplica;Puntarenas;Coto Brus;Sabalito;1950;Fluvial;Natural;Media;0.56;0.4;8.942861111;-82.74583333
42;PCBtec010;Cerro Pelón;No Aplica;Puntarenas;Coto Brus;Sabalito;1450;Tectónico;Natural;Baja;0.24;0.2;8.929722222;-82.74861111
43;PCBvol011;Cerro Quijada del Diablo;No Aplica;Puntarenas;Coto Brus;Sabalito;1850;Volcánico;Natural;Alta;0.71;0.6;8.917222222;-82.78694444
44;PCBflu012;Laguna Cañas Gordas;No Aplica;Puntarenas;Coto Brus;Agua Buena;1154;Fluvial;Natural;Baja;0.11;0.1;8.90654;-82.74914
45;PCBflu013;Catarata Metaponto;No Aplica;Puntarenas;Coto Brus;Agua Buena;1030;Fluvial;Natural;Alta;0.72;0.6;8.748888889;-82.91944444
46;PCBflu014;Catarata Las Lajas;No Aplica;Puntarenas;Coto Brus;Agua Buena;1075;Fluvial;Natural;Baja;0.16;0.14;8.716833333;-82.95352778
47;PCBflu015;Catarata Los Vargas;No Aplica;Puntarenas;Coto Brus;Agua Buena;990;Fluvial;Natural;Baja;0.15;0.14;8.716388889;-82.93638889
48;PCBflu016;Laguna Campo Dos y Medio;No Aplica;Puntarenas;Coto Brus;Agua Buena;1036;Fluvial;Natural;Baja;0.13;0.12;8.709722222;-82.93083333
49;PCBflu017;Humedal Laguna Metaponto;No Aplica;Puntarenas;Coto Brus;Agua Buena;1020;Fluvial;Natural;Baja;0.14;0.1;8.705555556;-82.93333333
50;PCBkar018;Caverna Barranquilla;No Aplica;Puntarenas;Coto Brus;Agua Buena;900;Kárstico;Natural;Alta;0.79;0.8;8.706111111;-82.93388889
51;PCBFLU019;Localidad Fosilífera de San Gerardo;No Aplica;Puntarenas;Coto Brus;Limoncito;700;Fluvial;Natural;Media;0.6;0.6;8.700277778;-82.95944444
